description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
SVC,0.8136645962732919,0.8127112523472483,0.8209559816365108,0.8136645962732919,0.005568170547485351,0.006394672393798828,0.7972941393467685,0.8,0.8145327724304744,0.8,57
KNeighborsClassifier,0.7701863354037267,0.7701686008152637,0.7702103056882444,0.7701863354037267,0.0020145416259765626,0.03740139007568359,0.810174171387341,0.8106666666666668,0.8134308988502538,0.8106666666666668,57
GaussianProcessClassifier,0.8012422360248447,0.8006884218218178,0.8041268290413381,0.8012422360248447,0.02457709312438965,0.007583522796630859,0.8316667378283817,0.8320000000000001,0.8346501378068085,0.8320000000000001,57
GaussianNB,0.7453416149068323,0.742642722222424,0.7571116411602741,0.7453416149068323,0.002154684066772461,0.005091619491577148,0.7652178551019163,0.768,0.7810237691501986,0.768,57
DecisionTreeClassifier,0.6894409937888198,0.6890812173682787,0.6906427849198324,0.6894409937888198,0.016817808151245117,0.005032205581665039,0.7676298511997206,0.768,0.7695997812839918,0.768,57
BaggingClassifier,0.8136645962732919,0.8135783032490281,0.8144981312683177,0.8136645962732919,0.1084557056427002,0.006216239929199219,0.8235284146540159,0.8240000000000001,0.8272105370942582,0.8240000000000001,57
RandomForestClassifier,0.8509316770186336,0.8498781497282248,0.8620187025754011,0.8509316770186336,0.1859149932861328,0.012208652496337891,0.8357179090002429,0.8373333333333333,0.8479497496392762,0.8373333333333333,57
ExtraTreesClassifier,0.8757763975155279,0.8753437301694134,0.8817542938792173,0.8757763975155279,0.09808526039123536,0.01240696907043457,0.8520051718853308,0.8533333333333333,0.8642406024617205,0.8533333333333333,57
AdaBoostClassifier,0.8198757763975155,0.8197367111795248,0.8211833932657732,0.8198757763975155,0.22789421081542968,0.010866403579711914,0.8185051171179291,0.8186666666666668,0.8203877407666882,0.8186666666666668,57
GradientBoostingClassifier,0.8260869565217391,0.824010747435271,0.8434529091139561,0.8260869565217391,0.8376034736633301,0.005577516555786133,0.8418564406246111,0.8426666666666666,0.8506209791963576,0.8426666666666666,57
