description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
SVC,0.8322981366459627,0.8312942071238432,0.838218597396883,0.8322981366459627,0.014266300201416015,0.012210845947265625,0.7913255715981797,0.792,0.7974718795560901,0.792,13
KNeighborsClassifier,0.7391304347826086,0.733458460523059,0.7572023704746818,0.7391304347826086,0.004758262634277343,0.033298492431640625,0.7277788460606882,0.7306666666666668,0.7420901401614666,0.7306666666666668,13
GaussianProcessClassifier,0.8509316770186336,0.850620156529431,0.8526894487287578,0.8509316770186336,0.04355630874633789,0.01507267951965332,0.7892896965917875,0.7893333333333334,0.789635246582615,0.7893333333333334,13
GaussianNB,0.7267080745341615,0.7202718516518138,0.7545844424726412,0.7267080745341615,0.005074596405029297,0.0075073719024658205,0.6294113503250822,0.6320000000000001,0.6342501712107488,0.6320000000000001,13
DecisionTreeClassifier,0.7080745341614907,0.7074655337691678,0.711311618696967,0.7080745341614907,0.06093177795410156,0.007143831253051758,0.6625805257604397,0.664,0.6674965686471108,0.664,13
BaggingClassifier,0.8136645962732919,0.8130290336559295,0.8164562252743515,0.8136645962732919,0.35574779510498045,0.008393430709838867,0.7430982843741287,0.744,0.7490100955543048,0.744,13
RandomForestClassifier,0.84472049689441,0.8444802841812483,0.8458782191915625,0.84472049689441,0.2632577419281006,0.014079999923706055,0.7887585763697194,0.7893333333333333,0.7921933420102844,0.7893333333333333,13
ExtraTreesClassifier,0.8819875776397516,0.8816676493036988,0.8847151464396212,0.8819875776397516,0.12527546882629395,0.014410161972045898,0.8072186173887583,0.808,0.8137585869910702,0.808,13
AdaBoostClassifier,0.8136645962732919,0.8127239469068556,0.8181654514357729,0.8136645962732919,0.6587622165679932,0.013344383239746094,0.6970577133920555,0.6986666666666667,0.7006017908017907,0.6986666666666667,13
GradientBoostingClassifier,0.8136645962732919,0.8136645962732919,0.8136645962732919,0.8136645962732919,2.7943119049072265,0.007452774047851563,0.7667603392423723,0.768,0.7719884980847886,0.768,13
