description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
SVC,0.8198757763975155,0.8127042648097083,0.8665150842945875,0.8198757763975155,0.028209495544433593,0.021632003784179687,0.8180117123837933,0.8240000000000001,0.8715742628903413,0.8240000000000001,47
KNeighborsClassifier,0.8819875776397516,0.8817590573997138,0.883244510105737,0.8819875776397516,0.009746026992797852,0.03370933532714844,0.8795213603758423,0.8800000000000001,0.8867539428702219,0.8800000000000001,47
GaussianProcessClassifier,0.8944099378881988,0.8942054724102703,0.8957393856887604,0.8944099378881988,0.08949065208435059,0.030885076522827147,0.9171116742198213,0.9173333333333333,0.9213075826127243,0.9173333333333333,47
GaussianNB,0.8074534161490683,0.7987272440646973,0.8598125749155497,0.8074534161490683,0.010713958740234375,0.011335659027099609,0.8263162751093505,0.8320000000000001,0.8768926926434789,0.8320000000000001,47
DecisionTreeClassifier,0.8757763975155279,0.875709176951413,0.8759129281003019,0.8757763975155279,0.1604001998901367,0.01058192253112793,0.8343470082428986,0.8346666666666668,0.8369728715728717,0.8346666666666668,47
BaggingClassifier,0.8695652173913043,0.8680319532252212,0.8822410951958423,0.8695652173913043,0.8810197830200195,0.012385749816894531,0.870748546751914,0.8720000000000001,0.8813969881969882,0.8720000000000001,47
RandomForestClassifier,0.9006211180124224,0.8995868933407206,0.9127093071652687,0.9006211180124224,0.3866421699523926,0.01750979423522949,0.892629492312499,0.8933333333333333,0.9018282816704548,0.8933333333333333,47
ExtraTreesClassifier,0.8881987577639752,0.8863759114231704,0.9081237316278212,0.8881987577639752,0.13916120529174805,0.017664003372192382,0.8950524763878285,0.8960000000000001,0.9071268985929624,0.8960000000000001,47
AdaBoostClassifier,0.9192546583850931,0.9190983024313831,0.9207291368548068,0.9192546583850931,1.9012843132019044,0.017673492431640625,0.8985337544183976,0.8986666666666666,0.9010407236315414,0.8986666666666666,47
GradientBoostingClassifier,0.9130434782608695,0.9128210313447928,0.915160397329425,0.9130434782608695,8.387135696411132,0.01093602180480957,0.9037966881675207,0.9039999999999999,0.9075229799464791,0.9039999999999999,47
