description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
SVC,0.8322981366459627,0.8260816896215732,0.873090481786134,0.8322981366459627,0.027512454986572267,0.020770502090454102,0.7676366019915082,0.7786666666666667,0.8479156207607241,0.7786666666666667,83
KNeighborsClassifier,0.8633540372670807,0.8631209976407146,0.8639612323352645,0.8633540372670807,0.009110546112060547,0.02015385627746582,0.8452695842969815,0.8453333333333333,0.8455698544518299,0.8453333333333333,83
GaussianProcessClassifier,0.8944099378881988,0.8942872586014415,0.8947890919405163,0.8944099378881988,0.08027806282043456,0.028042316436767578,0.8584160594032909,0.8586666666666666,0.8615334913289603,0.8586666666666666,83
GaussianNB,0.8322981366459627,0.8260816896215732,0.873090481786134,0.8322981366459627,0.010255718231201172,0.011118602752685548,0.7983824386105652,0.8053333333333335,0.8537477191422124,0.8053333333333335,83
DecisionTreeClassifier,0.8074534161490683,0.8063730846441185,0.8104323075653825,0.8074534161490683,0.1392737865447998,0.010467624664306641,0.7885688407496754,0.7893333333333333,0.7932277056277056,0.7893333333333333,83
BaggingClassifier,0.8322981366459627,0.8310009155284841,0.8376811594202899,0.8322981366459627,0.866504716873169,0.012165212631225586,0.814065376111088,0.8160000000000001,0.8306125329622214,0.8160000000000001,83
RandomForestClassifier,0.8819875776397516,0.8810747183348592,0.8886346300533944,0.8819875776397516,0.385923433303833,0.017383241653442384,0.8490057786307428,0.8506666666666666,0.8661862821441118,0.8506666666666666,83
ExtraTreesClassifier,0.8819875776397516,0.8807853038333308,0.8915214589870013,0.8819875776397516,0.14357376098632812,0.017779827117919922,0.8598316848699927,0.8613333333333333,0.8748225101852487,0.8613333333333333,83
AdaBoostClassifier,0.8322981366459627,0.8319077843240773,0.8331365684199099,0.8322981366459627,1.90988130569458,0.017819595336914063,0.8425170663626089,0.8426666666666668,0.8441388041760135,0.8426666666666668,83
GradientBoostingClassifier,0.9006211180124224,0.9003201102151628,0.902551541130843,0.9006211180124224,8.363929748535156,0.011724328994750977,0.8661013425368875,0.8666666666666666,0.8719621907363843,0.8666666666666666,83
