description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
SVC,0.8012422360248447,0.7970239064523382,0.8618160307601301,0.8012422360248447,0.024457216262817383,0.019267749786376954,0.8315860206330795,0.8373333333333333,0.8732925801431684,0.8373333333333333,18
KNeighborsClassifier,0.8260869565217391,0.8264227478475774,0.8331385743643469,0.8260869565217391,0.009510135650634766,0.023970890045166015,0.836997737830521,0.8373333333333333,0.8395953012638447,0.8373333333333333,18
GaussianProcessClassifier,0.8322981366459627,0.8325323480390941,0.8333451916235602,0.8322981366459627,0.08709912300109864,0.030297231674194337,0.869083987824429,0.8693333333333333,0.8714537707508845,0.8693333333333333,18
GaussianNB,0.7888198757763976,0.7834825377385084,0.8559238404829627,0.7888198757763976,0.010259485244750977,0.011849784851074218,0.8344617468802757,0.8400000000000001,0.8758832323232324,0.8400000000000001,18
DecisionTreeClassifier,0.7701863354037267,0.7706657612444917,0.775959338726967,0.7701863354037267,0.1608120918273926,0.010692310333251954,0.8238334176457747,0.8240000000000001,0.8271261850209217,0.8240000000000001,18
BaggingClassifier,0.84472049689441,0.8442649384216817,0.8678098838779369,0.84472049689441,0.8982412815093994,0.012301254272460937,0.8736902326789513,0.8746666666666668,0.8816427594833082,0.8746666666666668,18
RandomForestClassifier,0.8633540372670807,0.863269687907369,0.8804289668969689,0.8633540372670807,0.4001962184906006,0.017447853088378908,0.8814367984956221,0.8826666666666666,0.8913630163397498,0.8826666666666666,18
ExtraTreesClassifier,0.8260869565217391,0.8254153738700621,0.850837389654319,0.8260869565217391,0.13963704109191893,0.017658281326293945,0.8948285374010301,0.8959999999999999,0.9051114113265009,0.8959999999999999,18
AdaBoostClassifier,0.8136645962732919,0.8140539968847951,0.8167021107273736,0.8136645962732919,1.897554349899292,0.017878293991088867,0.8797880311599178,0.8800000000000001,0.8808817371077755,0.8800000000000001,18
GradientBoostingClassifier,0.8509316770186336,0.8508396595353116,0.86774296105024,0.8509316770186336,8.391136980056762,0.01109018325805664,0.8928444477569298,0.8933333333333333,0.896440562914521,0.8933333333333333,18
