description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
SVC,0.6645962732919255,0.6571561999644191,0.7310982544627405,0.6645962732919255,0.01521143913269043,0.014194679260253907,0.6868530541669624,0.7066666666666666,0.7514493860750828,0.7066666666666666,33
KNeighborsClassifier,0.7329192546583851,0.7335471628406859,0.7346843231674692,0.7329192546583851,0.004587602615356445,0.04634552001953125,0.7728123217943526,0.7733333333333333,0.7823973959905735,0.7733333333333333,33
GaussianProcessClassifier,0.6708074534161491,0.6666002755232453,0.7224754308503063,0.6708074534161491,0.04262123107910156,0.015317583084106445,0.7198390574916456,0.7306666666666667,0.7570858632836746,0.7306666666666667,33
GaussianNB,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.005176067352294922,0.007498884201049804,0.780597088747791,0.7813333333333333,0.7886502202582829,0.7813333333333333,33
DecisionTreeClassifier,0.7329192546583851,0.7342869335343246,0.7424823633156967,0.7329192546583851,0.07879371643066406,0.007049655914306641,0.6969957231348962,0.6986666666666667,0.7019244205078756,0.6986666666666667,33
BaggingClassifier,0.7701863354037267,0.7707266284908226,0.7718031032637775,0.7701863354037267,0.42291936874389646,0.00829935073852539,0.7566184674221201,0.7573333333333333,0.7603357901667905,0.7573333333333333,33
RandomForestClassifier,0.7888198757763976,0.7896602461209202,0.7926910299003322,0.7888198757763976,0.29143056869506834,0.013995075225830078,0.8130549785930595,0.8133333333333332,0.8156799737655698,0.8133333333333332,33
ExtraTreesClassifier,0.8322981366459627,0.8321393343291154,0.8320457215144123,0.8322981366459627,0.12445063591003418,0.014231014251708984,0.8053125352072721,0.8053333333333335,0.8100682605734935,0.8053333333333335,33
AdaBoostClassifier,0.7763975155279503,0.7770623742454729,0.7786870663582993,0.7763975155279503,0.7928168296813964,0.013090133666992188,0.7648898720572117,0.7653333333333334,0.7661001655854777,0.7653333333333334,33
GradientBoostingClassifier,0.782608695652174,0.7833730515294761,0.7856477166821995,0.782608695652174,3.3949329376220705,0.007331037521362304,0.8075952902218709,0.808,0.8105380758836599,0.808,33
