description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
SVC,0.8074534161490683,0.8074534161490683,0.8180513990109193,0.8074534161490683,0.013036012649536133,0.011571216583251952,0.7987434787815438,0.8026666666666668,0.8202065490563353,0.8026666666666668,59
KNeighborsClassifier,0.7763975155279503,0.7765010351966872,0.78527228080312,0.7763975155279503,0.004090261459350586,0.01755528450012207,0.7641716772796685,0.7653333333333332,0.7681082487353484,0.7653333333333332,59
GaussianProcessClassifier,0.7950310559006211,0.7953636305829536,0.7987012115635304,0.7950310559006211,0.037256050109863284,0.012954330444335938,0.7867723684834826,0.7893333333333333,0.7999529720642331,0.7893333333333333,59
GaussianNB,0.8012422360248447,0.8014117193894746,0.801828740649578,0.8012422360248447,0.004395961761474609,0.006861734390258789,0.7642483803196632,0.7653333333333333,0.7707678253808137,0.7653333333333333,59
DecisionTreeClassifier,0.7018633540372671,0.7015152804313018,0.7013845271050938,0.7018633540372671,0.07750205993652344,0.006732654571533203,0.7030229463580238,0.7040000000000001,0.7076752329641464,0.7040000000000001,59
BaggingClassifier,0.7515527950310559,0.7496490587081515,0.7767578436056698,0.7515527950310559,0.4358346939086914,0.008238887786865235,0.7787931046568992,0.7813333333333333,0.7903636897370634,0.7813333333333333,59
RandomForestClassifier,0.84472049689441,0.8449724474113285,0.8484174909899548,0.84472049689441,0.2962712287902832,0.014788818359375,0.7923110418617842,0.7946666666666667,0.8042209215371713,0.7946666666666667,59
ExtraTreesClassifier,0.8509316770186336,0.8511042630671609,0.8578553951224759,0.8509316770186336,0.12807817459106446,0.015139007568359375,0.8111779875171751,0.8133333333333332,0.8252883918393195,0.8133333333333332,59
AdaBoostClassifier,0.8136645962732919,0.8138234869276325,0.8142337942041805,0.8136645962732919,0.7917392730712891,0.012964010238647461,0.7375096623469238,0.7386666666666666,0.7405301441526315,0.7386666666666666,59
GradientBoostingClassifier,0.8571428571428571,0.8573746516184222,0.8608465608465607,0.8571428571428571,3.4066835403442384,0.007329082489013672,0.7879137483348011,0.7893333333333333,0.7983031195229338,0.7893333333333333,59
