description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
SVC,0.7639751552795031,0.7624097595397058,0.7668549021773647,0.7639751552795031,0.00447392463684082,0.005588340759277344,0.7994887161628836,0.7999999999999999,0.8063429892530248,0.7999999999999999,26
KNeighborsClassifier,0.7204968944099379,0.7159974954325955,0.7282680441957239,0.7204968944099379,0.0014160633087158202,0.013228750228881836,0.7694476387899483,0.7706666666666667,0.7787158714697529,0.7706666666666667,26
GaussianProcessClassifier,0.6832298136645962,0.6826917751315426,0.688579511614056,0.6832298136645962,0.012419843673706054,0.005730628967285156,0.7322111274494916,0.7333333333333333,0.7356491347798647,0.7333333333333333,26
GaussianNB,0.7515527950310559,0.7503925496778385,0.7529930686830497,0.7515527950310559,0.0015131473541259766,0.004485416412353516,0.7609178221309183,0.7626666666666667,0.7747678607219134,0.7626666666666667,26
DecisionTreeClassifier,0.7142857142857143,0.7144180302562518,0.7154320987654321,0.7142857142857143,0.004256153106689453,0.004547262191772461,0.7035223435676993,0.7040000000000001,0.7051411843377411,0.7040000000000001,26
BaggingClassifier,0.7888198757763976,0.7878336672261628,0.7908002520478891,0.7888198757763976,0.03764066696166992,0.010580778121948242,0.761193997377559,0.7626666666666667,0.7716809283161756,0.7626666666666667,26
RandomForestClassifier,0.8012422360248447,0.7994692794447845,0.8068561872909698,0.8012422360248447,0.1355743408203125,0.012899112701416016,0.807334908199062,0.808,0.8136318971638914,0.808,26
ExtraTreesClassifier,0.8385093167701864,0.8383968232601966,0.8385439838220424,0.8385093167701864,0.08890876770019532,0.012088537216186523,0.8208646432835428,0.8213333333333332,0.82833288082872,0.8213333333333332,26
AdaBoostClassifier,0.7142857142857143,0.7144180302562518,0.7154320987654321,0.7142857142857143,0.08196454048156739,0.009607601165771484,0.7650782751365304,0.7653333333333332,0.765965145965146,0.7653333333333332,26
GradientBoostingClassifier,0.7701863354037267,0.770115232440631,0.7701036478664692,0.7701863354037267,0.17520599365234374,0.004870033264160157,0.7588014672511172,0.76,0.765071504213604,0.76,26
