description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
SVC,0.782608695652174,0.7801242236024845,0.805383022774327,0.782608695652174,0.01976785659790039,0.015015983581542968,0.8579722924601055,0.8586666666666666,0.8641596668647681,0.8586666666666666,65
KNeighborsClassifier,0.7763975155279503,0.7761386364551595,0.7819063441252347,0.7763975155279503,0.007799577713012695,0.02025604248046875,0.821088244843225,0.8213333333333332,0.8238769483877088,0.8213333333333332,65
GaussianProcessClassifier,0.7453416149068323,0.7441597683580764,0.7561436672967864,0.7453416149068323,0.0705531120300293,0.023459100723266603,0.8421830956110131,0.8426666666666666,0.8457729069810466,0.8426666666666666,65
GaussianNB,0.8074534161490683,0.8073196877657941,0.8122548028311427,0.8074534161490683,0.008403396606445313,0.009758901596069337,0.8131443278034176,0.8133333333333332,0.8152784654839627,0.8133333333333332,65
DecisionTreeClassifier,0.7950310559006211,0.7951101425789016,0.7967233579875699,0.7950310559006211,0.1439650535583496,0.009269094467163086,0.7779507163029777,0.7786666666666667,0.7826002953119233,0.7786666666666667,65
BaggingClassifier,0.8385093167701864,0.8376093686902678,0.853642438742678,0.8385093167701864,0.7780786514282226,0.010899591445922851,0.850071518024005,0.8506666666666668,0.8547827382941339,0.8506666666666668,65
RandomForestClassifier,0.8322981366459627,0.832013292716699,0.8395622394282312,0.8322981366459627,0.36568894386291506,0.016355085372924804,0.8419086951362882,0.8426666666666668,0.8474672069401556,0.8426666666666668,65
ExtraTreesClassifier,0.84472049689441,0.8442525887915611,0.8549431856841532,0.84472049689441,0.13473796844482422,0.016484546661376952,0.8607589474947301,0.8613333333333333,0.8655082469210378,0.8613333333333333,65
AdaBoostClassifier,0.8322981366459627,0.8321816635379498,0.8372901921132456,0.8322981366459627,1.541881513595581,0.016091442108154295,0.8504436944143963,0.8506666666666668,0.8527887368364725,0.8506666666666668,65
GradientBoostingClassifier,0.8509316770186336,0.8508856682769725,0.8550545160856104,0.8509316770186336,6.815692329406739,0.009918117523193359,0.8315265827798335,0.8320000000000001,0.8356876285356046,0.8320000000000001,65
