description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
SVC,0.8633540372670807,0.8620852428253503,0.8743072145246058,0.8633540372670807,0.2403998851776123,0.0994415283203125,0.8515277587704577,0.8533333333333333,0.870814503960448,0.8533333333333333,50
KNeighborsClassifier,0.8944099378881988,0.8942958085023995,0.897578121238384,0.8944099378881988,0.02709541320800781,0.05619997978210449,0.7967382518616531,0.7973333333333332,0.8010450804375578,0.7973333333333332,50
GaussianProcessClassifier,0.906832298136646,0.9068394878346714,0.9069166474963577,0.906832298136646,0.360400390625,0.09351019859313965,0.8317652866367824,0.8320000000000001,0.834200970016752,0.8320000000000001,50
GaussianNB,0.7639751552795031,0.7557672400063705,0.7990987699427597,0.7639751552795031,0.034210920333862305,0.0266876220703125,0.7670129426571769,0.7733333333333332,0.8092101587456064,0.7733333333333332,50
DecisionTreeClassifier,0.8198757763975155,0.8197505209976761,0.8201959502336404,0.8198757763975155,0.5242132186889649,0.02286953926086426,0.7324556915106315,0.7333333333333333,0.7370179068818954,0.7333333333333333,50
BaggingClassifier,0.8633540372670807,0.8623968348506765,0.8712713688068182,0.8633540372670807,2.962023448944092,0.02659907341003418,0.8097033351398976,0.8106666666666665,0.8176804793384171,0.8106666666666665,50
RandomForestClassifier,0.906832298136646,0.9064419458147606,0.9118080677086888,0.906832298136646,0.666895055770874,0.03009929656982422,0.8275866790682069,0.8293333333333333,0.8424688654135462,0.8293333333333333,50
ExtraTreesClassifier,0.9130434782608695,0.9124343494504303,0.9222389440402059,0.9130434782608695,0.2196417808532715,0.030350780487060545,0.8333689036847334,0.8346666666666666,0.8453922673583844,0.8346666666666666,50
AdaBoostClassifier,0.906832298136646,0.9068179120796124,0.9068735524995346,0.906832298136646,6.0611968517303465,0.03474369049072266,0.8583525490495717,0.8586666666666668,0.8629069599650995,0.8586666666666668,50
GradientBoostingClassifier,0.9130434782608695,0.9129493694711085,0.9139871924502865,0.9130434782608695,26.915591192245483,0.025484800338745117,0.863573062780619,0.8640000000000001,0.8688181209471532,0.8640000000000001,50
