description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
SVC,0.8385093167701864,0.839383184103681,0.8663139472734674,0.8385093167701864,0.02010998725891113,0.01604771614074707,0.8487260032606126,0.8506666666666666,0.8588759754915823,0.8506666666666666,76
KNeighborsClassifier,0.8509316770186336,0.8519758978365292,0.8624604250602613,0.8509316770186336,0.007149600982666015,0.018233108520507812,0.817942105524238,0.8186666666666668,0.824445714228594,0.8186666666666668,76
GaussianProcessClassifier,0.8509316770186336,0.851866238486241,0.8741399534642231,0.8509316770186336,0.06819815635681152,0.023217487335205077,0.8536498896123627,0.8560000000000001,0.8681719562186633,0.8560000000000001,76
GaussianNB,0.7701863354037267,0.7696720323383033,0.821019469660774,0.7701863354037267,0.00801992416381836,0.009663867950439452,0.7890492714562052,0.7919999999999999,0.8013950423681162,0.7919999999999999,76
DecisionTreeClassifier,0.7329192546583851,0.7347507844140883,0.7433988222359097,0.7329192546583851,0.14075422286987305,0.009390449523925782,0.751233397831317,0.752,0.75615716629494,0.752,76
BaggingClassifier,0.782608695652174,0.7840399539976728,0.8029496383533651,0.782608695652174,0.7972992420196533,0.010972166061401367,0.8468852153421358,0.8480000000000001,0.8534998587952112,0.8480000000000001,76
RandomForestClassifier,0.8385093167701864,0.8395217583600946,0.8615618329711747,0.8385093167701864,0.3785195827484131,0.016296243667602538,0.8673883121234051,0.8693333333333333,0.8796188422629372,0.8693333333333333,76
ExtraTreesClassifier,0.8322981366459627,0.8334022502267763,0.8530961791831356,0.8322981366459627,0.14000310897827148,0.01631002426147461,0.8729716155056991,0.8746666666666666,0.8837368948713124,0.8746666666666666,76
AdaBoostClassifier,0.8757763975155279,0.8762264830317762,0.8777670856054199,0.8757763975155279,1.5368219375610352,0.016208887100219727,0.8609943233348805,0.8613333333333333,0.8657670990896797,0.8613333333333333,76
GradientBoostingClassifier,0.8633540372670807,0.8641666423662749,0.8692474360826231,0.8633540372670807,6.7550696849823,0.009745073318481446,0.85771593290685,0.8586666666666666,0.8630276699259192,0.8586666666666666,76
