description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
SVC,0.8944099378881988,0.8940428099921175,0.909460105112279,0.8944099378881988,0.02033967971801758,0.016108226776123048,0.9219449112458105,0.9226666666666666,0.9312412010470149,0.9226666666666666,64
KNeighborsClassifier,0.8695652173913043,0.8696659197905389,0.8714439076757918,0.8695652173913043,0.007509708404541016,0.019851112365722658,0.9008417435266789,0.9013333333333333,0.90565756090225,0.9013333333333333,64
GaussianProcessClassifier,0.8633540372670807,0.8618364562892299,0.8940296615540627,0.8633540372670807,0.0722836971282959,0.02537050247192383,0.9081930510744256,0.9093333333333333,0.9212725605850031,0.9093333333333333,64
GaussianNB,0.8074534161490683,0.8022909846443179,0.863237940442329,0.8074534161490683,0.007875537872314453,0.009820985794067382,0.8425590342739829,0.8480000000000001,0.8797604511059063,0.8480000000000001,64
DecisionTreeClassifier,0.8198757763975155,0.819931505746969,0.8200505498642144,0.8198757763975155,0.133543062210083,0.009368228912353515,0.8310315018463822,0.8320000000000001,0.8386012506012506,0.8320000000000001,64
BaggingClassifier,0.8571428571428571,0.857021590902827,0.8649536235743133,0.8571428571428571,0.6999717235565186,0.010954618453979492,0.892877194980054,0.8933333333333333,0.8970372332565881,0.8933333333333333,64
RandomForestClassifier,0.8695652173913043,0.8686054323831461,0.8926218708827405,0.8695652173913043,0.36078615188598634,0.01622037887573242,0.9167235905817925,0.9173333333333333,0.9250380206701558,0.9173333333333333,64
ExtraTreesClassifier,0.8695652173913043,0.8688791698825143,0.8880317905563347,0.8695652173913043,0.1335927963256836,0.01646895408630371,0.9081971551737661,0.9093333333333333,0.9213407715035242,0.9093333333333333,64
AdaBoostClassifier,0.8633540372670807,0.8627624963028687,0.8795571158520118,0.8633540372670807,1.5447975635528564,0.01627488136291504,0.8904867383193267,0.8906666666666666,0.8926336705751339,0.8906666666666666,64
GradientBoostingClassifier,0.8695652173913043,0.8694544960417118,0.8775139457298379,0.8695652173913043,6.7541505813598635,0.009881162643432617,0.9248184159301982,0.9253333333333332,0.9302279458529104,0.9253333333333332,64
