description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
SVC,0.8509316770186336,0.8487154812935584,0.8741879645657264,0.8509316770186336,0.017926025390625,0.014927196502685546,0.9144507802250657,0.9146666666666666,0.918712959892013,0.9146666666666666,86
KNeighborsClassifier,0.8509316770186336,0.8498781497282248,0.8620187025754011,0.8509316770186336,0.0068054676055908205,0.017448616027832032,0.8879496718400828,0.8879999999999999,0.8890549902245137,0.8879999999999999,86
GaussianProcessClassifier,0.8322981366459627,0.8283280787247783,0.8679754510499852,0.8322981366459627,0.06628179550170898,0.022231340408325195,0.9009291691729026,0.9013333333333333,0.9079199925247604,0.9013333333333333,86
GaussianNB,0.8136645962732919,0.8072008083449732,0.8644833427442123,0.8136645962732919,0.007599353790283203,0.00949234962463379,0.8582687098880439,0.8613333333333333,0.8898040747049866,0.8613333333333333,86
DecisionTreeClassifier,0.8136645962732919,0.8135783032490281,0.8144981312683177,0.8136645962732919,0.12232122421264649,0.009258413314819336,0.8050089818856941,0.8053333333333332,0.8072786355044604,0.8053333333333332,86
BaggingClassifier,0.8509316770186336,0.8504124762032959,0.8565402074281439,0.8509316770186336,0.7089977741241456,0.010966634750366211,0.8797395516668114,0.8799999999999999,0.883493124315506,0.8799999999999999,86
RandomForestClassifier,0.8633540372670807,0.8613225245190954,0.8874045412890744,0.8633540372670807,0.35639452934265137,0.01616830825805664,0.9088651453788156,0.9093333333333333,0.9166422628470308,0.9093333333333333,86
ExtraTreesClassifier,0.8509316770186336,0.8487154812935584,0.8741879645657264,0.8509316770186336,0.13239130973815919,0.016382503509521484,0.906211567961263,0.9066666666666666,0.913362577102262,0.9066666666666666,86
AdaBoostClassifier,0.8633540372670807,0.8628781031863546,0.8691472506536804,0.8633540372670807,1.5180431842803954,0.016219282150268556,0.8798537026628376,0.8799999999999999,0.8819171871542029,0.8799999999999999,86
GradientBoostingClassifier,0.8695652173913043,0.8685004436557231,0.8829831495735387,0.8695652173913043,6.715705442428589,0.009899139404296875,0.8985916792492136,0.8986666666666666,0.9000681485418328,0.8986666666666666,86
