description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
SVC,0.8881987577639752,0.8876766473550274,0.8916194076874607,0.8881987577639752,0.022008705139160156,0.01654825210571289,0.917243154598598,0.9173333333333333,0.9200526113134435,0.9173333333333333,48
KNeighborsClassifier,0.8881987577639752,0.8882419309344401,0.8885592708431213,0.8881987577639752,0.007909822463989257,0.0198974609375,0.8985248295627759,0.8986666666666666,0.9005488647645258,0.8986666666666666,48
GaussianProcessClassifier,0.9006211180124224,0.8999620040167181,0.9064299225426982,0.9006211180124224,0.06569290161132812,0.022565078735351563,0.887618520145905,0.8880000000000001,0.894420604044227,0.8880000000000001,48
GaussianNB,0.8509316770186336,0.8471395881006866,0.8780968006562756,0.8509316770186336,0.008212614059448241,0.00979771614074707,0.8417500146744897,0.8453333333333333,0.8759237923513604,0.8453333333333333,48
DecisionTreeClassifier,0.8136645962732919,0.8134488637126326,0.8195496846171508,0.8136645962732919,0.13260993957519532,0.009329462051391601,0.8049273479036291,0.8053333333333335,0.8073218683688606,0.8053333333333335,48
BaggingClassifier,0.8509316770186336,0.8502355298067031,0.8538122243226215,0.8509316770186336,0.7161378860473633,0.011044979095458984,0.8574189368770764,0.8586666666666666,0.8715898970037805,0.8586666666666666,48
RandomForestClassifier,0.9192546583850931,0.9190667109708518,0.9206698149052813,0.9192546583850931,0.35855922698974607,0.016145086288452147,0.8844507552624288,0.8853333333333333,0.897863929639084,0.8853333333333333,48
ExtraTreesClassifier,0.9006211180124224,0.9003201102151628,0.902551541130843,0.9006211180124224,0.13207387924194336,0.01642322540283203,0.8954144774865874,0.8959999999999999,0.9053193559129044,0.8959999999999999,48
AdaBoostClassifier,0.8819875776397516,0.8820149322673028,0.8821103813246296,0.8819875776397516,1.544497585296631,0.016171789169311522,0.8797950048034053,0.8799999999999999,0.8838347567305961,0.8799999999999999,48
GradientBoostingClassifier,0.906832298136646,0.9066154357355984,0.9081650654073713,0.906832298136646,6.744885873794556,0.00987091064453125,0.8772203858865717,0.8773333333333333,0.8799818913164078,0.8773333333333333,48
