description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
SVC,0.7888198757763976,0.7870191150272041,0.8103798375537508,0.7888198757763976,0.021235084533691405,0.015896701812744142,0.7728321279172601,0.784,0.8290007363055283,0.784,36
KNeighborsClassifier,0.84472049689441,0.8425149091604184,0.8557173403930353,0.84472049689441,0.007620096206665039,0.02585182189941406,0.7861190253871667,0.7866666666666666,0.7906505944529201,0.7866666666666666,36
GaussianProcessClassifier,0.8385093167701864,0.8376524685757709,0.8410157892048825,0.8385093167701864,0.06499004364013672,0.022953128814697264,0.8046671445605084,0.8053333333333332,0.8123032664148944,0.8053333333333332,36
GaussianNB,0.7763975155279503,0.7744908276758631,0.7973403408186016,0.7763975155279503,0.008005571365356446,0.009826231002807616,0.724423372903017,0.736,0.7747930479397146,0.736,36
DecisionTreeClassifier,0.7639751552795031,0.7627228386876654,0.7653030356602669,0.7639751552795031,0.11443347930908203,0.009388017654418945,0.7860978380909531,0.7866666666666666,0.7921964146132063,0.7866666666666666,36
BaggingClassifier,0.8385093167701864,0.838621497701729,0.8410635902883913,0.8385093167701864,0.7308590412139893,0.01094517707824707,0.8328554696189288,0.8346666666666668,0.8430478352824021,0.8346666666666668,36
RandomForestClassifier,0.8509316770186336,0.8509776857602945,0.8552337931219918,0.8509316770186336,0.35350422859191893,0.01615757942199707,0.8501748879102442,0.8506666666666668,0.8530980232238342,0.8506666666666668,36
ExtraTreesClassifier,0.8509316770186336,0.8510468054732067,0.852212253661529,0.8509316770186336,0.13743038177490235,0.016350364685058592,0.8528779583185928,0.8533333333333333,0.8566252773317335,0.8533333333333333,36
AdaBoostClassifier,0.8198757763975155,0.819931505746969,0.8200505498642144,0.8198757763975155,1.5109341621398926,0.01624326705932617,0.8369021102708334,0.8373333333333333,0.8407053637270512,0.8373333333333333,36
GradientBoostingClassifier,0.8509316770186336,0.8510468054732067,0.852212253661529,0.8509316770186336,6.656206798553467,0.009763193130493165,0.8443543518837073,0.8453333333333333,0.8522101311172052,0.8453333333333333,36
