description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
SVC,0.7701863354037267,0.770133131638338,0.7706151888970119,0.7701863354037267,0.013805818557739259,0.014166879653930663,0.7673972372814947,0.7706666666666667,0.786697061181375,0.7706666666666667,21
KNeighborsClassifier,0.7701863354037267,0.7687955245383421,0.7776428944649388,0.7701863354037267,0.004046249389648438,0.016686630249023438,0.722842821172638,0.7253333333333334,0.7338540686681202,0.7253333333333334,21
GaussianProcessClassifier,0.7453416149068323,0.7452826593830232,0.7457416862864741,0.7453416149068323,0.03570976257324219,0.013884210586547851,0.7716158596384547,0.7733333333333332,0.7825614290532726,0.7733333333333332,21
GaussianNB,0.7329192546583851,0.7319883353647579,0.7356836672207155,0.7329192546583851,0.0046161174774169925,0.007071018218994141,0.7286122448514909,0.7306666666666667,0.7399699425076757,0.7306666666666667,21
DecisionTreeClassifier,0.7329192546583851,0.7326097154518851,0.7337185227984014,0.7329192546583851,0.08395490646362305,0.0069921016693115234,0.6820152296469868,0.6826666666666666,0.6846739931492631,0.6826666666666666,21
BaggingClassifier,0.7701863354037267,0.770133131638338,0.7706151888970119,0.7701863354037267,0.42353382110595705,0.008167362213134766,0.7520163506075341,0.7546666666666667,0.7635771767231387,0.7546666666666667,21
RandomForestClassifier,0.8074534161490683,0.8074088400213103,0.8079254428128183,0.8074534161490683,0.2925070285797119,0.013656377792358398,0.7748951426580362,0.776,0.7801299372378374,0.776,21
ExtraTreesClassifier,0.8136645962732919,0.8135783032490281,0.8144981312683177,0.8136645962732919,0.12960939407348632,0.015037298202514648,0.8041561185705914,0.8053333333333332,0.812255711094233,0.8053333333333332,21
AdaBoostClassifier,0.7763975155279503,0.7761384765051607,0.7780442004911166,0.7763975155279503,0.7902889728546143,0.012979269027709961,0.7645609620830982,0.7653333333333333,0.7692053169504142,0.7653333333333333,21
GradientBoostingClassifier,0.8260869565217391,0.8257105213626953,0.829443933077048,0.8260869565217391,3.363737773895264,0.010309076309204102,0.80492446393195,0.8053333333333332,0.8082747381955414,0.8053333333333332,21
